"","Date","Country","City","co","humidity","no2","pm10","pressure","so2","temperature","wind-gust","wind-speed","dew","pm25","o3","wd","precipitation","wind gust","wind speed","THI","API"
"1",2018-12-31,"AT","Graz",0.1,70.2,14.2,11,1027.1,1.1,3.7,4.3,1.5,NA,NA,NA,NA,NA,NA,NA,41.8486,14.2
"2",2018-12-31,"AT","Innsbruck",0.1,93,30.7,20,1032,1.3,0,2.2,0.7,0.5,NA,NA,NA,NA,NA,NA,33.008,30.7
"3",2018-12-31,"AT","Linz",0.1,92,9.6,14,1031,7.1,3.3,2.5,1.2,2.5,53,NA,NA,NA,NA,NA,38.828,53
"4",2018-12-31,"AT","Salzburg",0.1,96.5,27.5,11,1032,1.1,1,13.2,1.8,1,NA,NA,NA,NA,NA,NA,34.269,27.5
"5",2018-12-31,"AT","Vienna",0.1,70,5.5,6,1028.7,2.6,4.5,5,2,NA,19,NA,NA,NA,NA,NA,43.07,19
"6",2019-01-01,"AT","Graz",0.1,75.7,14.2,30,1026.9,1.6,3,4,1.3,NA,NA,NA,NA,NA,NA,NA,40.1702,30
"7",2019-01-01,"AT","Innsbruck",0.1,87.2,21.1,31,1028.2,1.1,0.8,4.1,1,1,NA,NA,NA,NA,NA,NA,35.1808,31
"8",2019-01-01,"AT","Linz",0.1,91.1,6.9,10,1027.3,11.7,4.6,7.5,5.2,3,34,NA,NA,NA,NA,NA,41.1522,34
"9",2019-01-01,"AT","Salzburg",0.1,93,12.4,13,1027,1.1,3.3,13.2,6.4,1.5,NA,NA,NA,NA,NA,NA,38.717,13
"10",2019-01-01,"AT","Vienna",0.1,74,4.8,7,1022.3,2.6,6.1,8.6,3.6,1.5,21,NA,NA,NA,NA,NA,45.138,21
"11",2019-01-02,"AT","Graz",0.1,79.5,6.4,7,1017.9,1.6,-0.2,9.3,4,NA,NA,NA,NA,NA,NA,NA,34.633,7
"12",2019-01-02,"AT","Innsbruck",0.1,80,11.5,8,1025,1.6,-2.6,16.9,8.3,NA,NA,NA,NA,NA,NA,NA,30.72,11.5
"13",2019-01-02,"AT","Linz",0.1,81.5,7.4,5,1026.1,2.1,1.6,16.2,9.7,0.5,15,NA,NA,NA,NA,NA,37.248,15
"14",2019-01-02,"AT","Salzburg",0.1,80,8.7,7,1024.5,1.6,-0.2,13.7,6.6,1,NA,NA,NA,NA,NA,NA,34.56,8.7
"15",2019-01-02,"AT","Vienna",NA,67.1,3.7,3,1017.2,2.3,3.1,11.2,4.1,NA,9,NA,NA,NA,NA,NA,41.2977,9
